Class,Type,Rocket Motor,Total Impulse,Name,Altitude,Altimeters (include GPS model if > 30K),Date,Location,GPS URL,Image URL,Altimeter URL,Notes,Historical
Single,Hybrid,H78,180,Clayton Gawne,"8,502",Perfectflite MAWD,4/22/2006,,,,,,
Single,Hybrid,H70,180,Eric Pyne,"5,601",Perfectflite MAWD,4/10/2005,,,,,,
Single,Hybrid,I147,535,Clayton Gawne,"9,726",Perfectflite MAWD,11/5/2005,,,,,,
Single,Hybrid,J330,1051,Eric Pyne,"10,517",MissleWorks RRC2,10/5/2002,,,,,,
Single,Hybrid,J315,999,Thomas Baiga,"8,465",Missleworks Co-pilot,3/2/2002,,,,,,
Single,Hybrid,J110,716,"William Beggs, Jr","7,531",Adept Alt-S25,4/8/2000,,,,,,
Single,Hybrid,K240,1285,Eric Pyne,"13,040",MissleWorks RRC2,9/26/2003,,,,,,
Single,Hybrid,K240,1285,Thomas Baiga,"10,127","PML Co-pilot, MissleWorks RRC2",2/2/2002,,,,,,
Single,Hybrid,L575,4831,Eric Pyne,"23,270",MissleWorks RRC2,9/28/2002,,,,,,
Single,Hybrid,M1001,9835,Eric Pyne,"29,243",MissleWorks RRC40X,9/10/2004,,,,,,
