Class,Type,Rocket Motor,Total Impulse,Name,Altitude,Altimeters (include GPS model if > 30K),Date,Location,GPS URL,Image URL,Altimeter URL,Notes,Historical
Single,Commercial,F32,80,William Inman,"6,786",Adept Alt-S1,9/16/2001,,,,,,
Single,Commercial,F10,74,Steve Boetto,"5,407",Easy Mini,12/12/2015,"NEFAR, Bunnell, FL",,http://www.realflightsystems.com/techpubs/data/TRA-Records/other/fx-2.jpg,,Apogee F10,
Single,Commercial,G150BS,143,Chris Franco,"8,796",Raven,10/20/2013,"TCC, Helm CA",,http://www.tripoli.org/portals/1/Images/Tripoli/Records/G_Franco_10-2013.jpg,,,
Single,Commercial,G55,120,John Wilke,"7,852",Perfectflite MAWD,6/3/2006,,,,,,
Single,Commercial,G75J,155,William Inman,"7,567",Adept Alt-M1,6/9/1999,,,,,,
Single,Commercial,H160,312,Adrian Adamson,"14,818",Raven,7/9/2011,"Highlands Ranch, CO",,http://www.tripoli.org/portals/1/Images/Tripoli/Records/H_Adamson_7-2011.jpg,,See also: http://www.rocketryforum.com/showthread.php?28300-All-time-Altitude-List-is-back!&p=252476#post252476,
Single,Commercial,H220,260,Gary Buck,"5,756",MissileWorks RRC2,8/1/1999,,,,,,
Single,Commercial,H268R,320,Whitney Richard II,"8,365",,6/19/2011,"Southern Thunder, TX",,http://www.tripoli.org/portals/1/Images/Tripoli/Records/H_Richard_6-2011.jpg,,,
Single,Commercial,H268R,320,William Inman,"10,660",Adept Alt-S1,10/7/2001,,,,,,
Single,Commercial,I132,640,William Inman,"13,728",Adept Alt-S2,11/27/1999,,,,,,
Single,Commercial,I216,636,Charlie Ogino,"13,675",,10/30/2015,"QCRS, Princeton, IL",,http://www.tripoli.org/portals/1/Images/Tripoli/Records/I_Ogino_10-2015.jpg,,,
Single,Commercial,I216,636,John Wilke,"14,188",Perfectflite MAWD,4/10/2010,,,,,,
Single,Commercial,I224,381,Bryan Duke,"14,596",Altus Metrum Easy Mini,5/27/2017,"Tripoli Vegas, Delamar Dry Lake, NV",,"http://www.realflightsystems.com/techpubs/data/TRA-Records/2017/bryan-duke/IMG_7795-2.jpg, http://www.realflightsystems.com/techpubs/data/TRA-Records/2017/bryan-duke/IMG_7770.JPG, http://www.realflightsystems.com/techpubs/data/TRA-Records/2017/bryan-duke/Screen%20Shot%202017-05-29%20at%2010.15.41%20AM.png",,"“Vanish 29”  flew with a fly-away rail guide at Delamar Dry Lake. Flight Video: https://youtu.be/WaH9kI0dRgY
",
